slot_number,month,days_active,hold,denomination,location,coin_in
11,6,31,6.36,.25,"K",34842.77
11,7,31,6.36,.25,"K",108600.6
11,8,30,6.36,.25,"K",114284.6
11,9,31,6.36,.25,"K",141698.1
11,10,30,6.36,.25,"K",85298.74
11,11,31,6.36,.25,"K",550.3145
11,12,31,6.36,.25,"K",150503.1
11,13,29,6.36,.25,"K",88349.05
11,14,31,6.36,.25,"K",66902.52
11,15,30,6.36,.25,"K",69056.6
11,16,31,6.36,.25,"K",102342.8
12,2,31,6.36,.25,"K",98223.27
12,3,30,6.36,.25,"K",68600.63
12,4,31,6.36,.25,"K",102358.5
12,5,30,6.36,.25,"K",76650.95
12,6,31,6.36,.25,"K",69748.43
12,7,31,6.36,.25,"K",91116.35
12,8,30,6.36,.25,"K",98679.24
12,9,31,6.36,.25,"K",114559.7
12,10,30,6.36,.25,"K",83254.72
12,11,31,6.36,.25,"K",20534.59
12,12,31,6.36,.25,"K",162751.6
12,13,29,6.36,.25,"K",113612.4
12,14,31,6.36,.25,"K",70015.72
12,15,30,6.36,.25,"K",91886.79
12,16,31,6.36,.25,"K",65110.06
13,1,28,6.36,.25,"K",100440.3
13,2,31,6.36,.25,"K",91741.35
13,3,30,6.36,.25,"K",25628.93
13,4,31,6.36,.25,"K",68950.47
13,5,30,6.36,.25,"K",88066.04
13,6,31,6.36,.25,"K",109905.7
13,7,31,6.36,.25,"K",85393.08
13,8,30,6.36,.25,"K",117397.8
13,9,31,6.36,.25,"K",137586.5
13,10,30,6.36,.25,"K",12059.75
13,11,31,6.36,.25,"K",43899.37
13,12,31,6.36,.25,"K",105550.3
13,13,29,6.36,.25,"K",79685.53
13,14,31,6.36,.25,"K",52484.28
13,15,30,6.36,.25,"K",105550.3
13,16,31,6.36,.25,"K",131776.7
14,1,28,14.96,.25,"C",87299.47
14,2,31,14.96,.25,"C",62466.58
14,3,30,14.96,.25,"C",78375.67
14,4,31,14.96,.25,"C",60995.99
14,5,30,14.96,.25,"C",77139.04
14,6,31,14.96,.25,"C",67780.75
14,7,31,14.96,.25,"C",56918.45
14,8,30,14.96,.25,"C",80815.51
14,9,31,14.96,.25,"C",50868.98
14,10,30,14.96,.25,"C",64672.46
14,11,31,14.96,.25,"C",95220.59
14,12,31,14.96,.25,"C",48830.21
14,13,29,14.96,.25,"C",85795.45
14,14,31,14.96,.25,"C",88970.59
14,15,30,14.96,.25,"C",45521.39
14,16,31,14.96,.25,"C",81183.16
15,1,28,12.43,.25,"C",65599.35
15,2,31,12.43,.25,"C",53153.66
15,3,30,12.43,.25,"C",64754.63
15,4,31,12.43,.25,"C",48326.63
15,5,30,12.43,.25,"C",45181.01
15,6,31,12.43,.25,"C",63724.86
15,7,31,12.43,.25,"C",63290.43
15,8,30,12.43,.25,"C",66170.55
15,9,31,12.43,.25,"C",54181.41
15,10,30,12.43,.25,"C",77544.24
15,11,31,12.43,.25,"C",21914.72
15,12,31,12.43,.25,"C",45824.62
15,13,29,12.43,.25,"C",52260.66
15,14,31,12.43,.25,"C",46910.7
15,15,30,12.43,.25,"C",45060.34
15,16,31,12.43,.25,"C",72333.06
16,1,28,9.97,.25,"C",88605.81
16,2,31,9.97,.25,"C",54709.13
16,3,30,9.97,.25,"C",89322.97
16,4,31,9.97,.25,"C",71160.98
16,5,30,9.97,.25,"C",22647.94
16,6,31,9.97,.25,"C",67352.05
16,7,31,9.97,.25,"C",82647.95
16,8,30,9.97,.25,"C",108746.2
16,9,31,9.97,.25,"C",135326
16,10,30,9.97,.25,"C",79047.14
16,11,31,9.97,.25,"C",46512.04
16,12,31,9.97,.25,"C",111815.4
16,13,29,9.97,.25,"C",98816.45
16,14,31,9.97,.25,"C",131364.1
16,15,30,9.97,.25,"C",85654.46
16,16,31,9.97,.25,"C",84393.18
17,1,28,12.49,.25,"C",62562.05
17,2,31,12.49,.25,"C",73819.05
17,3,30,12.49,.25,"C",30920.74
17,4,31,12.49,.25,"C",58006.41
17,5,30,12.49,.25,"C",45028.02
17,6,31,12.49,.25,"C",34059.25
17,7,31,12.49,.25,"C",33042.43
17,8,30,12.49,.25,"C",23919.14
17,9,31,12.49,.25,"C",79103.28
17,10,30,12.49,.25,"C",13666.93
17,11,31,12.49,.25,"C",76020.82
17,12,31,12.49,.25,"C",79743.8
17,13,29,12.49,.25,"C",6925.541
17,14,31,12.49,.25,"C",41409.13
17,15,30,12.49,.25,"C",53578.86
17,16,31,12.49,.25,"C",63971.18
18,1,28,14.98,.25,"C",35727.64
18,2,31,14.98,.25,"C",35380.51
18,3,30,14.98,.25,"C",41568.76
18,4,31,14.98,.25,"C",26255.01
18,5,30,14.98,.25,"C",52950.6
18,6,31,14.98,.25,"C",40447.27
18,7,31,14.98,.25,"C",13765.02
18,8,30,14.98,.25,"C",42039.39
18,9,31,14.98,.25,"C",41148.2
18,10,30,14.98,.25,"C",20547.4
18,11,31,14.98,.25,"C",38277.7
18,12,31,14.98,.25,"C",41815.75
18,13,29,14.98,.25,"C",27963.95
18,14,31,14.98,.25,"C",61014.69
18,15,30,14.98,.25,"C",20186.92
18,16,31,14.98,.25,"C",60961.29
19,1,28,12.48,.25,"C",59615.39
19,2,31,12.48,.25,"C",70993.59
19,3,30,12.48,.25,"C",49959.94
19,4,31,12.48,.25,"C",48036.86
19,5,30,12.48,.25,"C",84254.81
19,6,31,12.48,.25,"C",48036.86
19,7,31,12.48,.25,"C",6169.872
19,8,30,9.95,.25,"C",53115.58
19,9,31,12.48,.25,"C",38341.35
19,10,30,12.48,.25,"C",67588.14
19,11,31,9.95,.25,"C",13768.84
19,12,31,12.48,.25,"C",3725.962
19,13,27,9.95,.25,"C",39248.75
19,14,31,12.48,.25,"C",38020.84
19,15,30,12.48,.25,"C",90224.36
19,16,31,12.48,.25,"C",67908.66
20,1,28,14.98,.25,"C",52259.68
20,2,31,14.98,.25,"C",27096.13
20,3,30,14.98,.25,"C",22556.74
20,4,31,14.98,.25,"C",42236.32
20,5,30,14.98,.25,"C",34492.66
20,6,31,14.98,.25,"C",56300.07
20,7,31,14.98,.25,"C",33978.64
20,8,30,14.98,.25,"C",48748.33
20,9,31,14.98,.25,"C",34157.21
20,10,30,14.98,.25,"C",7409.88
20,11,31,14.98,.25,"C",36502
20,12,31,14.98,.25,"C",51495.33
20,13,29,14.98,.25,"C",37910.55
20,14,31,14.98,.25,"C",33831.78
20,15,30,14.98,.25,"C",32643.53
20,16,31,14.98,.25,"C",30146.86
21,1,28,12.45,.25,"C",70923.7
21,2,31,12.45,.25,"C",70120.48
21,3,30,12.45,.25,"C",63172.69
21,4,31,12.45,.25,"C",37469.88
21,5,30,12.45,.25,"C",54618.48
21,6,31,12.45,.25,"C",68514.05
21,7,31,12.45,.25,"C",28835.34
21,8,30,12.45,.25,"C",85742.98
21,9,31,12.45,.25,"C",72811.25
21,10,30,12.45,.25,"C",32650.6
21,11,31,12.45,.25,"C",67510.04
21,12,31,12.45,.25,"C",90321.29
21,13,29,12.45,.25,"C",58491.97
21,14,31,12.45,.25,"C",112168.7
21,15,30,12.45,.25,"C",34546.18
21,16,31,12.45,.25,"C",76465.87
22,1,28,12.43,.25,"C",78006.84
22,2,31,12.43,.25,"C",107606.6
22,3,30,12.43,.25,"C",67988.73
22,4,31,12.43,.25,"C",47473.85
22,5,30,12.43,.25,"C",28889.78
22,6,31,12.43,.25,"C",82518.1
22,7,31,12.43,.25,"C",22670.96
22,8,30,12.43,.25,"C",71218.82
22,9,31,12.43,.25,"C",54722.45
22,10,30,12.43,.25,"C",31303.3
22,11,31,12.43,.25,"C",49678.2
22,12,31,12.43,.25,"C",70289.62
22,13,29,12.43,.25,"C",49605.79
22,14,31,12.43,.25,"C",102526.1
22,15,30,12.43,.25,"C",102574.4
22,16,31,12.43,.25,"C",62823.81
23,1,28,12.49,.25,"C",33162.53
23,2,31,12.49,.25,"C",70400.32
23,3,30,12.49,.25,"C",29843.88
23,4,31,12.49,.25,"C",17045.64
23,5,30,12.49,.25,"C",52281.83
23,6,31,12.49,.25,"C",22113.69
23,7,31,12.49,.25,"C",29855.88
23,8,30,12.49,.25,"C",37129.7
23,9,31,12.49,.25,"C",57485.99
23,10,30,12.49,.25,"C",45876.7
23,11,31,12.49,.25,"C",57886.31
23,12,31,12.49,.25,"C",37750.2
23,13,29,12.49,.25,"C",39191.36
23,14,31,12.49,.25,"C",43114.49
23,15,30,12.49,.25,"C",42129.7
23,16,31,12.49,.25,"C",72177.74
24,1,28,12.48,.25,"C",67828.53
24,2,31,12.48,.25,"C",63301.29
24,4,31,12.48,.25,"C",40865.39
24,5,30,12.48,.25,"C",33719.95
24,6,31,12.48,.25,"C",40104.17
24,7,31,12.48,.25,"C",23317.31
24,8,30,14.98,.25,"C",53037.39
24,9,31,12.48,.25,"C",47886.62
24,10,30,12.48,.25,"C",35536.86
24,11,31,14.98,.25,"C",58477.97
24,12,31,12.48,.25,"C",51642.63
24,13,22,14.98,.25,"C",37616.82
24,14,31,12.48,.25,"C",83733.98
24,15,30,12.48,.25,"C",36498.4
24,16,31,12.48,.25,"C",37139.43
25,1,28,12.63,.25,"C",74024.15
25,2,31,12.63,.25,"C",36698.34
25,3,30,12.63,.25,"C",39984.16
25,4,31,12.63,.25,"C",44734.76
25,5,30,12.63,.25,"C",41726.05
25,6,31,12.63,.25,"C",21338.08
25,7,31,12.63,.25,"C",32620.74
25,8,30,12.63,.25,"C",33887.57
25,9,31,12.63,.25,"C",48891.53
25,10,30,12.63,.25,"C",61005.54
25,11,31,12.63,.25,"C",67260.49
25,12,31,12.63,.25,"C",34916.86
25,13,29,12.63,.25,"C",57046.71
25,14,31,12.63,.25,"C",43626.29
25,15,30,12.63,.25,"C",52929.53
25,16,31,12.63,.25,"C",69239.91
26,1,28,12.43,.25,"C",63153.66
26,2,31,12.43,.25,"C",39324.21
26,3,30,12.43,.25,"C",6667.337
26,4,31,12.43,.25,"C",43563.96
26,5,30,12.43,.25,"C",33057.12
26,6,31,12.43,.25,"C",53057.12
26,7,31,12.43,.25,"C",44223.65
26,8,30,12.43,.25,"C",46319.39
26,9,31,12.43,.25,"C",61528.56
26,10,30,12.43,.25,"C",64054.7
26,11,31,12.43,.25,"C",47666.93
26,12,31,12.43,.25,"C",13209.98
26,13,29,12.43,.25,"C",50168.95
26,14,31,12.43,.25,"C",46106.2
26,15,30,12.43,.25,"C",60498.79
26,16,31,12.43,.25,"C",51641.19
27,1,28,12.49,.25,"C",60368.3
27,2,31,12.49,.25,"C",43570.86
27,3,30,12.49,.25,"C",48759.01
27,4,31,12.49,.25,"C",45196.16
27,5,30,12.49,.25,"C",43554.84
27,6,31,12.49,.25,"C",52161.73
27,7,31,12.49,.25,"C",36829.46
27,8,30,12.49,.25,"C",21257.01
27,9,31,12.49,.25,"C",39191.36
27,10,30,12.49,.25,"C",26477.18
27,11,31,12.49,.25,"C",13106.49
27,12,31,12.49,.25,"C",53682.95
27,13,29,12.49,.25,"C",26517.21
27,14,31,12.49,.25,"C",33947.16
27,15,30,12.49,.25,"C",46677.34
27,16,31,12.49,.25,"C",51297.04
28,1,28,12.46,.25,"C",72006.42
28,2,31,12.46,.25,"C",71749.6
28,3,30,12.46,.25,"C",72239.16
28,4,31,12.46,.25,"C",27231.14
28,5,30,12.46,.25,"C",70866.77
28,6,31,12.46,.25,"C",108396.9
28,7,31,12.46,.25,"C",57323.43
28,8,30,12.46,.25,"C",52463.88
28,9,31,12.46,.25,"C",56711.48
28,10,30,12.46,.25,"C",91284.11
28,12,31,12.46,.25,"C",89309.79
28,13,29,12.46,.25,"C",79157.3
28,14,31,12.46,.25,"C",62664.53
28,15,30,12.46,.25,"C",44654.89
28,16,31,12.46,.25,"C",80634.03
29,1,28,14.98,.25,"C",79145.53
29,2,31,14.98,.25,"C",71508.68
29,3,30,14.98,.25,"C",54238.99
29,4,31,14.98,.25,"C",33371.16
29,5,30,14.98,.25,"C",39265.69
29,6,31,14.98,.25,"C",74225.63
29,7,31,14.98,.25,"C",50534.05
29,8,30,14.98,.25,"C",26999.33
29,9,31,14.98,.25,"C",45687.59
29,10,30,14.98,.25,"C",80814.42
29,11,31,14.98,.25,"C",64365.82
29,12,31,14.98,.25,"C",69699.6
29,13,29,14.98,.25,"C",21755.68
29,14,31,14.98,.25,"C",81935.91
29,15,30,14.98,.25,"C",77483.31
29,16,31,14.98,.25,"C",50440.59
30,1,28,12.43,.25,"M",31311.34
30,2,31,12.43,.25,"M",23606.19
30,3,30,12.51,.25,"M",40423.66
30,4,31,12.51,.25,"M",68936.85
30,5,30,12.43,.25,"M",37689.06
30,6,31,12.51,.25,"M",67623.9
30,7,31,12.51,.25,"M",5247.802
30,8,30,12.51,.25,"M",65021.98
30,9,31,12.43,.25,"M",33925.98
30,10,30,12.43,.25,"M",17427.59
30,11,31,12.51,.25,"M",31203.04
30,12,31,12.43,.25,"M",26564.76
30,13,29,12.51,.25,"M",76195.04
30,14,31,12.43,.25,"M",23861.63
30,15,30,12.51,.25,"M",75175.86
30,16,15,12.51,.25,"M",26634.69
31,1,28,12.43,.25,"M",30492.76
31,2,31,12.43,.25,"M",31106.19
31,3,30,12.43,.25,"M",45486.72
31,4,31,12.43,.25,"M",16830.25
31,5,30,12.43,.25,"M",46200.72
31,6,31,12.43,.25,"M",25722.04
31,7,31,12.43,.25,"M",27572.4
31,8,30,12.43,.25,"M",30792.44
31,9,31,12.43,.25,"M",35685.84
31,10,30,12.43,.25,"M",19485.12
31,11,31,12.43,.25,"M",14336.28
31,12,31,12.43,.25,"M",5961.384
31,13,29,12.43,.25,"M",28777.15
31,14,31,12.43,.25,"M",33533.79
31,15,30,12.43,.25,"M",14664.12
31,16,31,12.43,.25,"M",5631.537
32,1,28,12.43,.25,"M",16500.4
32,2,31,12.43,.25,"M",51850.36
32,4,31,12.43,.25,"M",33696.7
32,5,30,12.43,.25,"M",37795.66
32,6,31,12.43,.25,"M",25430.41
32,7,31,12.43,.25,"M",35776.35
32,8,30,12.43,.25,"M",26574.82
32,9,31,12.43,.25,"M",33921.96
32,10,30,12.43,.25,"M",51005.63
32,11,31,12.43,.25,"M",36156.48
32,12,31,12.43,.25,"M",31311.34
32,13,29,12.43,.25,"M",48399.04
32,14,31,12.43,.25,"M",32284.79
32,15,30,12.43,.25,"M",14939.66
32,16,31,12.43,.25,"M",41494.37
33,1,28,12.43,.25,"M",49026.55
33,2,31,12.43,.25,"M",45728.07
33,3,30,12.43,.25,"M",74151.24
33,4,31,12.43,.25,"M",28254.22
33,5,30,12.43,.25,"M",73304.5
33,6,31,12.43,.25,"M",63041.03
33,7,31,12.43,.25,"M",40034.19
33,8,30,12.43,.25,"M",70396.22
33,9,31,12.43,.25,"M",49107
33,10,30,12.43,.25,"M",76783.99
33,11,31,12.43,.25,"M",52397.43
33,12,31,12.43,.25,"M",71602.98
33,13,29,12.43,.25,"M",62924.38
33,14,31,12.43,.25,"M",63708.77
33,15,30,12.43,.25,"M",79664.12
33,16,31,12.43,.25,"M",59702.33
34,1,26,10.23,.25,"L",178841.7
34,2,31,7.25,.25,"L",246837.9
34,3,30,10.23,.25,"L",88128.06
34,4,31,10.23,.25,"L",86884.17
34,5,30,10.23,.25,"L",144469.7
34,6,31,10.23,.25,"L",102189.6
34,7,31,10.23,.25,"L",58934.51
34,8,30,10.23,.25,"L",120928.6
34,9,31,10.23,.25,"L",139719
34,10,30,10.23,.25,"L",168482.4
34,11,31,10.23,.25,"L",86568.92
34,12,31,10.23,.25,"L",109599.2
34,13,29,10.23,.25,"L",79369.51
34,14,31,10.23,.25,"L",112424.3
34,15,30,10.23,.25,"L",132856.8
34,16,31,10.23,.25,"L",183387.1
35,1,26,10.23,.25,"L",136810.9
35,2,31,7.25,.25,"L",256537.9
35,3,30,10.23,.25,"L",83724.34
35,4,31,10.23,.25,"L",72942.33
35,5,30,10.23,.25,"L",118849
35,6,31,10.23,.25,"L",132160.3
35,7,31,10.23,.25,"L",79657.88
35,8,30,10.23,.25,"L",93418.87
35,9,31,10.23,.25,"L",143548.4
35,10,30,10.23,.25,"L",142458.5
35,11,31,10.23,.25,"L",85972.63
35,12,31,10.23,.25,"L",149921.8
35,13,29,10.23,.25,"L",68379.77
35,14,31,10.23,.25,"L",152610
35,15,30,10.23,.25,"L",141375.9
35,16,31,10.23,.25,"L",170887.1
36,1,26,10.23,.25,"L",156595.8
36,2,31,7.25,.25,"L",228527.6
36,3,30,9.68,.25,"L",103104.3
36,4,31,9.68,.25,"L",73719.01
36,5,30,10.23,.25,"L",146309.9
36,6,31,9.68,.25,"L",125808.4
36,7,31,9.68,.25,"L",59431.82
36,8,30,9.68,.25,"L",53274.79
36,9,31,10.23,.25,"L",174714.1
36,10,30,10.23,.25,"L",143626.6
36,11,31,9.68,.25,"L",50981.4
36,12,31,10.23,.25,"L",124909.6
36,13,29,9.68,.25,"L",47324.38
36,14,18,9.68,.25,"L",86536.67
36,15,30,9.68,.25,"L",138832.6
36,16,31,9.68,.25,"L",190475.2
37,1,26,10.23,.25,"L",151612.9
37,2,31,7.25,.25,"L",141175.9
37,3,30,9.68,.25,"L",144664.3
37,4,31,9.68,.25,"L",63460.74
37,5,30,10.23,.25,"L",117021
37,6,31,9.68,.25,"L",112017
37,7,31,9.68,.25,"L",99814.05
37,8,30,9.68,.25,"L",45147.21
37,9,31,10.23,.25,"L",178831.9
37,10,30,10.23,.25,"L",157851.9
37,11,31,9.68,.25,"L",55227.27
37,12,31,10.23,.25,"L",203071.9
37,13,29,9.68,.25,"L",55361.57
37,14,18,9.68,.25,"L",116353.3
37,15,30,9.68,.25,"L",171849.2
37,16,31,9.68,.25,"L",215795.5
38,1,26,10.23,.25,"L",133091.4
38,2,31,7.25,.25,"L",162365.5
38,3,30,10.23,.25,"L",114902.3
38,4,31,10.23,.25,"L",66212.13
38,5,30,10.23,.25,"L",120764.9
38,6,31,10.23,.25,"L",96512.71
38,7,31,10.23,.25,"L",104017.6
38,8,30,10.23,.25,"L",98702.35
38,9,31,10.23,.25,"L",163731.7
38,10,30,10.23,.25,"L",147328.9
38,11,31,10.23,.25,"L",80799.13
38,12,31,10.23,.25,"L",115163.7
38,13,29,10.23,.25,"L",102179.9
38,14,31,10.23,.25,"L",170892
38,15,30,10.23,.25,"L",184753.2
38,16,31,10.23,.25,"L",125110
39,1,26,10.23,.25,"L",175752.7
39,2,31,7.25,.25,"L",247186.2
39,3,30,10.23,.25,"L",95581.63
39,4,31,10.23,.25,"L",74389.05
39,5,30,10.23,.25,"L",158225.8
39,6,31,10.23,.25,"L",122228.7
39,7,31,10.23,.25,"L",67585.54
39,8,30,10.23,.25,"L",82050.34
39,9,31,10.23,.25,"L",137553.8
39,10,30,10.23,.25,"L",160596.3
39,11,31,10.23,.25,"L",112788.4
39,12,31,10.23,.25,"L",160202.8
39,13,29,10.23,.25,"L",81261
39,14,31,10.23,.25,"L",163575.3
39,15,30,10.23,.25,"L",164415.9
39,16,31,10.23,.25,"L",159916.9
40,1,26,10.23,.25,"L",235916.4
40,2,31,7.25,.25,"L",252555.2
40,3,30,10.23,.25,"L",205742.9
40,4,31,10.23,.25,"L",119992.7
40,5,30,10.23,.25,"L",262610
40,6,31,10.23,.25,"L",249850.9
40,7,31,10.23,.25,"L",106490.7
40,8,30,10.23,.25,"L",152656.4
40,9,31,10.23,.25,"L",269787.4
40,10,30,10.23,.25,"L",245425.2
40,11,31,10.23,.25,"L",172629.5
40,12,31,10.23,.25,"L",246742.4
40,13,29,10.23,.25,"L",113704.8
40,14,31,10.23,.25,"L",255281
40,15,30,10.23,.25,"L",225789.4
40,16,31,10.23,.25,"L",268795.2
41,1,28,7.14,.25,"T",135448.2
41,2,31,7.14,.25,"T",181470.6
41,3,30,9.82,.25,"C",158380.9
41,4,31,9.82,.25,"C",116822.8
41,6,26,9.82,.25,"C",195682.3
41,7,31,9.82,.25,"C",207512.7
41,8,30,9.82,.25,"C",195178.2
41,9,23,7.14,.25,"C",32198.88
41,10,30,7.14,.25,"C",89247.2
41,11,31,9.82,.25,"C",219473
41,12,31,7.14,.25,"C",157079.8
41,13,29,9.82,.25,"C",128958.8
41,15,30,7.14,.25,"C",183522.4
41,16,31,7.14,.25,"C",210647.8
42,1,26,7.14,.25,"T",81355.05
42,2,31,5.44,.25,"T",174908.1
42,3,30,9.82,.25,"C",214134.4
42,4,31,9.82,.25,"C",248953.7
42,5,30,7.14,.25,"C",39712.89
42,6,26,9.82,.25,"C",129330.5
42,7,31,9.82,.25,"C",115784.1
42,8,30,9.82,.25,"C",116563.1
42,9,23,7.14,.25,"C",95588.23
42,10,30,7.14,.25,"C",89240.2
42,11,31,9.82,.25,"C",108953.7
42,12,31,7.14,.25,"C",120115.5
42,13,29,9.82,.25,"C",201407.8
42,14,31,7.14,.25,"C",154888
42,15,30,7.14,.25,"C",26292.02
42,16,31,7.14,.25,"C",166929.3
43,1,28,8.51,.25,"T",98672.15
43,2,31,8.51,.25,"T",126686.3
43,3,30,8.51,.25,"C",145161.6
43,4,31,8.51,.25,"C",112241.5
43,5,30,8.51,.25,"C",199283.2
43,6,31,8.51,.25,"C",91827.26
43,7,31,8.51,.25,"C",185475.9
43,8,30,8.51,.25,"C",117870.1
43,9,23,8.51,.25,"C",132024.1
43,10,30,8.51,.25,"C",221025.3
43,11,31,8.51,.25,"C",204776.7
43,12,31,8.51,.25,"C",208064
43,13,29,8.51,.25,"C",210111.6
43,14,31,8.51,.25,"C",230428.9
43,15,30,8.51,.25,"C",219577
43,16,31,8.51,.25,"C",152646.9
